product_id,model,sku,upc,ean,jan,isbn,mpn,location,quantity,stock_status_id,image,manufacturer_id,shipping,price,points,tax_class_id,date_available,weight,weight_class_id,length,width,height,length_class_id,subtract,minimum,sort_order,status,viewed,date_added,date_modified,gpf_status,gtin,google_product_category,brand,gender,agegroup,colour,size,condition,adwords_grouping,adwords_labels,adwords_redirect,oos_status,gpf_size_system,gpf_size_type,gpf_availability_date,gpf_availability_time,gpf_is_bundle,identifier_exists,custom_labels,language_id,name,description,tag,meta_title,meta_description,meta_keyword
119,A10 Areola,A10,,,,,A10,,9999,7,data/Imported/A10400.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,1359,0000-00-00 00:00:00,2014-10-14 16:40:59,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A10 Areola,"<p>
	Use as highlighter and to create the illusion of protrusion’ and tubicles .</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets.</p>
<p>
	</p>
",,,Areola Pigment A10,Areola Pigment A10
121,A100 Areola,A100,,,,,A100,,9999,7,data/Imported/A100400.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,1331,0000-00-00 00:00:00,2014-10-14 16:40:45,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A100 Areola,"<p>
	Very dark colour. Usually suits afro caribbean skins best</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets.</p>
",,,Areola pigment A100,Areola pigment A100
122,A20 Alreola,A20,,,,,A20,,9999,7,data/Imported/A20400.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,1403,0000-00-00 00:00:00,2015-09-28 14:55:00,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A20 Areola,"<p>
	Use in Nipple Areola Complex for a medium pink tone. Mix with Pretty Pink Pearl to give rosy hue.</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets.</p>
",,,Areola Micropigmentation Pigment  A20,Areola Micropigmentation Pigment  A20
123,A30 Areola,A30,,,,,A30,,9999,7,data/Imported/A30400.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,1605,0000-00-00 00:00:00,2015-11-06 14:36:35,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A30 Areola,"<p>
	This is a universal colour which is very popular when creating a natural, nude colour. Excellent choice for a lip base colour. Great to mix across the range to create other shades.</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets.</p>
",,,Areola Micropigmentation Pigment A30,Areola Micropigmentation Pigment A30
124,A40 Areola,A40,,,,,A40,,9999,7,data/new pig/A40.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,1461,0000-00-00 00:00:00,2015-11-06 14:36:47,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A40 Areola,"<p>
	Use on Nipple and Areola Complex to give a dark pink tone<br />
	Mix with Pretty Pink Pearl to give rosy hue</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets.</p>
",,,Areola micropigmentation pigment A40,Areola micropigmentation pigment A40
125,A50 Areola,A50,,,,,A50,,9999,7,data/Imported/A50400.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,1152,0000-00-00 00:00:00,2015-11-06 14:37:01,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A50 Areola,"<p>
	Use to create a darker, nude areola colour</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets.</p>
<p>
	</p>
",,,Areola micropigmentation pigment A50,Areola micropigmentation pigment A50
126,A60 Areola,A60,,,,,A60,,9999,7,data/Imported/A60400.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,1126,0000-00-00 00:00:00,2014-10-14 16:41:58,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A60 Areola,"<p>
	A great colour to create good shadowing with a light brown tone. Suits Asian skin tones.</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets.</p>
",,,Areola micropigmentation pigment A60,Areola micropigmentation pigment A60
128,A70 Areola,A70,,,,,A70,,9999,7,data/Imported/A70400.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,1272,0000-00-00 00:00:00,2014-10-14 16:42:17,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A70 Areola,"<p>
	Great colour for shadowing to create a dark brown tone.</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets.</p>
",,,Areola micropigmentation pigment A70,Areola micropigmentation pigment A70
129,A80 Areola,A80,,,,,a80,,9999,7,data/Imported/A80400.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,958,0000-00-00 00:00:00,2014-10-14 16:42:27,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A80 Areola,"<p>
	Great for shadowing and creating medium brown tones.</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets.</p>
",,,Areola micropigmentation pigment A80,Areola micropigmentation pigment A80
130,A90 Areola,A90,,,,,A90,,9999,7,data/Imported/A90400.jpg,0,1,30,0,9,0000-00-00,25,2,0,0,0,1,0,0,0,1,1229,0000-00-00 00:00:00,2014-10-14 16:42:36,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,A90 Areola,"<p>
	Great colour for shadowing to create a dark brown tone.</p>
<p>
	Pharmaceutical grade pigments which have been tested under the most stringent directives. The pigments have been EU regulated and are available with accurate and reliable Material Safety Data Sheets. Always ensure the pigments that you buy are safe to use and adhere to EU regulations.</p>
",,,Areola micropigmentation pigment A90,Areola micropigmentation pigment A90
